name,location,rank,description,tuition_and_fees,in_state,undergrad_enrollment
University of Texas--Dallas,"Richardson, TX",146,"Founded in 1969, University of Texas--Dallas is a public institution. University of Texas--Dallas follows a semester-based academic calendar and its admissions are considered more selective. ",33.654,12.162,15575
Illinois State University,"Normal, IL",152,"Illinois State University is located in the town of Normal, about 130 miles southwest of Chicago. Undergraduates at Illinois State can choose from dozens of degrees, and master's students can major in many fields as well, including business, education, and social sciences and humanities. First-year students at ISU can sign up for the Learning in Communities seminar, which allows them to take one of their first colleges courses with a small group of peers and learn about their fellow students and the university. ISU students can also join more than 300 student organizations, write for the Vidette student newspaper or play an intramural sport. More competitive athletes can try out for one of the many Illinois State Redbirds varsity sports teams, which compete in the NCAA Division I Missouri Valley Conference. ISU students can also spend their free time checking out the parks, golf course and museum in Normal, or attending one of ISU's many School of Theatre productions. A few of Illinois State's notable alumni performed in these productions and went on to become famous television actors, including Jane Lynch, who stars in ""Glee,"" and Laurie Metcalf, who appeared in ""Roseanne. ",20.886,13.296,18426
Oklahoma State University,"Stillwater, OK",152,"At Oklahoma State University, freshmen are required to live on the school's campus in Stillwater, a town that's home to five lakes, theaters, restaurants and . There are more than 400 student organizations to consider, and OSU's Greek life is a popular extracurricular choice, with about 3,000 students joining the fraternities and sororities. Sports are another popular outlet; the OSU Cowboys and Cowgirls athletic teams compete in the NCAA Division I Big 12 Conference. For graduate students, there are degree programs offered through the Spears School of Business, the Center for Health Sciences, the College of Education - which is particularly well known for its technical and vocational training - and the engineering school, among other academic departments. Notable alumni of Oklahoma State University include country star Garth Brooks, professional golfer Rickie Fowler and Houston Nutt, former football coach at Ole Miss. ",20.978,7.778,21046
University of California--Merced,"Merced, CA",152,"Founded in 2005, University of California--Merced is a public institution. The school has 30.1 percent of its classes with fewer than 20 students, and the student-faculty ratio at University of California--Merced is 19:1. ",39.944,13.262,6237
University of Illinois--Chicago,"Chicago, IL",152,"The University of Illinois--Chicago (UIC) is located near public transportation stops, making the university both accessible for commuters and convenient for students who live on campus. There are more than 200 student clubs and organizations to check out, including fraternities and sororities. Through the UIC Undergraduate Research Experience, interested college students can pair up with faculty mentors and create a research project in a variety of academic areas. Each spring, students then present their findings at the university's Student Research Forum. Outside of academic work, student athletes compete on the UIC Flames sports teams, which are typically strong competitors in the NCAA Division I Horizon League and are supported by mascot Sparky D. Dragon. For graduate students, the university has a well-regarded College of Education, an engineering school and the Liautaud Graduate School of Business, among other academic departments. The UIC College of Medicine is the largest medical school in the country. Notable alumni of UIC include former CNN anchor Bernard Shaw, blues musician Billy Branch and prominent lobbyist Tony Podesta. ",26.526,13.67,17575
University of Massachusetts--Lowell,"Lowell, MA",152,"Founded in 1894, University of Massachusetts--Lowell is a public institution. The school has 59.4 percent of its classes with fewer than 20 students, and the student-faculty ratio at University of Massachusetts--Lowell is 17:1. ",29.125,13.427,13266
University of Alabama--Birmingham,"Birmingham, AL",159,"Founded in 1969, University of Alabama--Birmingham is a public institution. University of Alabama--Birmingham follows a semester-based academic calendar and its admissions are considered more selective. ",17.654,7.766,11511
University of Maryland--Baltimore County,"Baltimore, MD",159,"University of Maryland--Baltimore County is located about 45 minutes from Washington. The university offers more than 40 undergraduate majors and more than 30 graduate programs, including those in the engineering, science and public policy fields. UMBC bills itself as an honors university, and as such, hosts a chapter of the prestigious Phi Beta Kappa honor society and awards research grants to promising undergraduates, who then present what they've studied. Students can have fun outside the academic world by participating in about 250 student organizations, pledging one of the nearly 20 fraternities and sororities or attending any of the annual campus events, such as the spring carnival and concert called ""Quad Mania."" Student athletes can play at the intramural level or try out for the nearly 20 UMBC Retrievers varsity teams, which compete in the NCAA Division I America East Conference. Notable UMBC alumni include actress Kathleen Turner, who starred in the movies ""Romancing the Stone,"" ""Peggy Sue Got Married"" and ""The War of the Roses. ",24.492,11.264,11243
University of Rhode Island,"Kingston, RI",159,"The main campus of the University of Rhode Island is located in the village of Kingston, with three smaller campuses in various parts of the state. The university began as an agricultural school, and a renovated farmhouse has stood on the Kingston campus for more than a century. Now, URI offers more than 80 undergraduate majors and many master's programs as well, including those in the School of Education, the College of Business Administration and College of Engineering. Outside the classroom, students can get involved in more than 100 campus organizations or pledge one of the roughly 20 fraternities and sororities. URI students can also leave campus and make a short trip to the beach or to the state capital of Providence. Student athletes can play at the recreational, club or varsity level. Most of the nearly 20 URI Rams sports teams compete in the NCAA Division I Atlantic 10 Conference, cheered on by their mascot Rhody. Notable URI alumni include oceanographer Robert Ballard, who discovered the sunken Titanic, and journalist Christiane Amanpour. ",28.852,12.862,13641
University of South Florida,"Tampa, FL",159,"The University of South Florida, or USF, as it's commonly known, is a research institution with multiple campuses throughout the state. The public university is based in Tampa and has regional campuses in Sarasota and St. Petersburg. First-year students are required to live on campus, unless they commute from one of several nearby counties, are older than 21 or are married, among other exemptions. For students who do not live on campus, the school organizes a Commuter Student Network and offers bus transportation for students who drive to school and park in remote lots. On campus, there are more than 400 student organizations to check out, as well as a large Greek community. Any activity that students get involved in may be added to their co-curricular transcripts - official documents the school offers to help students showcase their extracurricular involvement and specialized skills to future employers. The USF Bulls athletic teams compete in the NCAA Division I American Athletic Conference.  For graduate students, the school offers degree programs through the USF College of Medicine, a graduate school of engineering, a College of Education and other departments. Notable alumni of the University of South Florida include journalist Richard Oppel, former editor of the Austin American-Statesman and Charlotte Observer, and Kimberly Ross, executive vice president and chief financial officer of global cosmetics company Avon. ",17.325,6.41,31111
Missouri University of Science & Technology,"Rolla, MO",164,"As its name suggests, Missouri University of Science & Technology focuses on many science, technology, engineering and math (STEM) degrees, including specialty engineering, computing and technology, and management systems. The school has a particularly wide variety of engineering majors for undergraduates to choose from, including aerospace engineering, mining engineering, petroleum engineering and engineering management. The university also offers many engineering graduate degree programs. However, undergraduate students can also opt to study humanities or several liberal arts disciplines, such as philosophy and history. Freshmen and sophomores must live on campus, unless they commute from their family's home, among other exceptions. Students can apply to live in traditional residence halls, suites, apartments or even the university's Solar Village, a community of solar homes that students build and later live in. About 20 percent of Missouri S&T students join fraternities and sororities. The student community comes together for annual events, including the Snowball Semiformal, Fall Fest and a weeklong celebration of St. Patrick's Day. The Missouri S&T Miners compete in the NCAA Division II Great Lakes Valley Conference. Notable alumni of the Missouri University of Science & Technology include Joe Ballard, former commander of the U.S. Army Corps of Engineers, and several NASA astronauts. ",26.152,9.628,6841
Virginia Commonwealth University,"Richmond, VA",164,"Virginia Commonwealth University is located in Richmond. Cheering on the school's Division I sports teams, the VCU Rams, is a popular outlet for students. There are hundreds of clubs and organizations students can join, as well as about 40 fraternities and sororities. About 7 percent of VCU students are involved in Greek life. For off-campus recreation, students can take advantage of the school's Outdoor Adventure Program, which coordinates kayaking, backpacking and whitewater rafting trips, among other activities. VCU has a variety of academic departments for graduate students, too, including its well-regarded School of the Arts, School of Education, School of Medicine and School of Social Work. The university also has a campus in Qatar that focuses on arts programs. ",31.608,13.076,24051
University of Hawaii--Manoa,"Honolulu, HI",169,"The University of Hawaii--Manoa is located just outside downtown Honolulu on the island of Oahu. The school's academic departments include the School of Hawaiian Knowledge, the School of Ocean and Earth Science and Technology, and the School of Pacific and Asian Studies. Outside of class, there are more than 200 student organizations to check out. UH Manoa's recreation center coordinates kayaking trips, sailing and surfing classes, snorkeling and hiking excursions and . Most of the University of Hawaii--Manoa's athletic teams compete in the NCAA Division I Big West Conference. The school also offers a wide variety of graduate programs, including degrees through its highly ranked College of Education, the William S. Richardson School of Law, the Shidler College of Business and the John A. Burns School of Medicine. Notable alumni of the University of Hawaii--Manoa include oceanographer Robert Ballard, former Citigroup chairman Richard Parsons and President Barack Obama's parents, Barack Obama Sr. and Ann Dunham Soetoro. ",33.764,11.732,13689
University of Idaho,"Moscow, ID",171,"University of Idaho is located in the northwestern part of the state, in the city of Moscow. Undergraduates at Idaho can choose from many majors within eight colleges, and graduate students can earn degrees in more than 80 master's programs, including business, law, engineering and education. Outside the classroom, students can join more than 200 organizations, play club-level or intramural sports or explore the city. Moscow is home to movie theaters, cafí©s, restaurants and the four-day Lionel Hampton Jazz Festival. Student athletes can try out for Idaho's silver-and-gold sports teams, which are called the Vandals, thanks to an old newspaper account of the 1917 basketball team vandalizing its opponents on the court. The Vandals mainly compete in the NCAA Division I Big Sky Conference. Notable Idaho alumni include Mark Felt, better known as Deep Throat, who was the source to reporters during the Watergate political scandal in the 1970s. ",22.04,7.232,9116
University of Louisville,"Louisville, KY",171,"The University of Louisville is located in Kentucky on the banks of the Ohio River, about 100 miles from both Indianapolis and Cincinnati. Students at U of L, as it is known, can major in more than 170 areas of study, including master's programs in the Louis D. Brandeis School of Law and in the fields of business and medicine. Outside the classroom, University of Louisville students can join more than 400 campus organizations, pledge with about 30 fraternities and sororities and play intramural sports. More serious athletes can try out for the Louisville Cardinals varsity teams, which compete in the NCAA Division I Atlantic Coast Conference. On campus, U of L students can also check out the art museum, planetarium and Auguste Rodin's original sculpture of The Thinker. In the city of Louisville, U of L students can go to the zoo, the Kentucky Shakespeare Festival and the famous Kentucky Derby horse race. Notable University of Louisville alumni include radio journalist Bob Edwards and the late Frank Neuhauser, who won the first National Spelling Bee in 1925 when he successfully spelled the word ""gladiolus. ",24.626,10.738,15769
University of Wyoming,"Laramie, WY",171,"The University of Wyoming campus is situated between two mountain ranges in the southeast corner of the state, in the town of Laramie. The university, often abbreviated to UW, offers nearly 200 areas of study, including graduate programs in the fields of business, law, engineering and education. UW students can also earn academic credit by taking classes in the National Outdoor Leadership School (NOLS). Through this program, students can explore many interesting places and activities in courses such as Alaska Mountaineering, Himalaya Backpacking and Baja Sea Kayaking. On campus, students can get involved in more than 200 organizations and participate in events such as Battle of the Bands and UW's Got Talent. Student athletes can play for many teams at the intramural, club and varsity level. The Wyoming Cowboys and Cowgirls intercollegiate teams compete in the NCAA Division I Mountain West Conference. Notable UW alumni include Dick Cheney, former vice president of the United States. ",16.215,5.055,10045
Ball State University,"Muncie, IN",176,"Ball State University is located in Muncie, Indiana, about an hour northeast of Indianapolis. Students at Ball State can choose from about 180 undergraduate majors, including an entrepreneurship program. In their senior year, entrepreneurship students must pass the New Venture Creation course, for which they develop a business plan that is presented to a panel of business professionals before graduation. Master's students at Ball State University can earn degrees in more than 100 fields, including those in the Miller College of Business and the Teachers College. Outside the classroom, Ball State students can get involved in more than 350 campus organizations and play club and recreational sports. More serious athletes can try out for the Ball State Cardinals varsity teams, which compete in the NCAA Division I Mid-American Conference. Notable alumni include late-night talk show host David Letterman, who developed a scholarship for creative Ball State media students with average grades. ",25.428,9.654,16602
Mississippi State University,"Mississippi State, MS",176,"Mississippi State University is located in the city of Starkville, about 170 miles southeast of Memphis. Students at Mississippi State can choose from more than 160 academic degrees, including master's degrees through the Bagley College of Engineering and in the fields of business and education. Mississippi State also has a highly ranked program in the College of Veterinary Medicine. Mississippi State, often called MSU, has held onto many traditions that students still follow. For years, students have rattled cowbells at sports games, attended The Drill pep rally to start off the school year and athletic seasons and cheered with Bully, the live bulldog mascot. The Mississippi Bulldogs varsity teams compete in about 15 sports and are members of the NCAA Division I Southeastern Conference. Students can also get involved by joining MSU's more than 300 campus clubs, pledging with more than 30 fraternities and sororities or running for student government. Notable MSU alumni include bestselling author John Grisham, who earned a degree in accounting. ",20.142,7.502,17421
Montclair State University,"Montclair, NJ",176,"Montclair State University is located in New Jersey, about 14 miles west of New York City. Students at Montclair can choose from about 300 academic programs, which include master's degrees in the fields of business, education and fine arts. Montclair students can make the most of their studies by visiting the school's Center for Career Services and Cooperative Education, which helps them plan for their future, gain jobs and internships, and research the industry they will likely enter after graduation. Students can get involved outside the classroom by exploring more than 200 clubs, joining Greek life or simply participating in ""Red Hawk Friday,"" in which students show school spirit by wearing Montclair apparel. Student athletes can play at the intramural, club and varsity levels. There are more than 15 Montclair Red Hawks intercollegiate sports teams that compete in the NCAA Division III New Jersey Athletic Conference. Bruce Willis, star of the ""Die Hard"" movies and ""Pulp Fiction,"" attended Montclair and later received an honorary degree. ",20.318,11.771,16336
Texas Tech University,"Lubbock, TX",176,"Texas Tech University is a large research institution in the college town of Lubbock. Students are required to live on campus until they have completed 30 hours of course work. The Texas Tech Red Raiders sports teams compete in the NCAA Big 12 Conference and are particularly competitive in football and basketball. Students can join more than 450 student organizations, including Texas Tech's large Greek community, made up of about 50 fraternities and sororities. The university also runs research centers and institutes, including the National Wind Institute. The school offers a wide variety of graduate programs, including degrees through the Jerry S. Rawls College of Business Administration, the Edward E. Whitacre Jr. College of Engineering and the School of Law. Notable alumni of Texas Tech University include Ed Whitacre, former chairman and CEO of both AT&T and General Motors and the namesake of the engineering school; Grammy-nominated country singer Pat Green; and actor Brad Leland, who appeared in both the feature film and television series ""Friday Night Lights. ",22.861,10.622,29237
University of Central Florida,"Orlando, FL",176,"The University of Central Florida is, fittingly, a school that's spread across the middle of the state. UCF is based in Orlando and has more than 10 regional campuses in locations including Daytona Beach, Ocala and South Lake. Freshmen at the Orlando campus are not required to live on campus and, because of limited space, those who hope to are encouraged to apply early for housing. There are more than 40 fraternities and sororities in the school's large Greek system, as well as more than 300 other student organizations to consider joining. The UCF Knights compete in the NCAA Division I American Athletic Conference. The University of Central Florida has many programs for graduate students, too, including those through the College of Business Administration, College of Engineering and Computer Science and College of Education. Notable alumni of the University of Central Florida include Cheryl Hines, an actress who starred in HBO's ""Curb Your Enthusiasm""; comedian Daniel Tosh, star of Comedy Central's ""Tosh.0""; and former soccer player Michelle Akers, a member of the National Soccer Hall of Fame. ",22.467,6.368,54513
University of New Mexico,"Albuquerque, NM",176,"Founded in 1889, University of New Mexico is a public institution. University of New Mexico follows a semester-based academic calendar and its admissions are considered selective. ",21.302,7.071,20522
University of Maine,"Orono, ME",183,"Located on the banks of the Stillwater River in the town of Orono, the University of Maine campus is about 60 miles from the Atlantic coast and approximately 100 miles from the Canadian border. At the University of Maine, students can choose from nearly 90 undergraduate majors and more than 70 master's degree programs, including business, law, engineering and education. Outside the classroom, University of Maine students participate in many annual events. When freshmen move into the dorms before fall semester, faculty and staff volunteers greet the new students, help them move in and direct traffic as part of the Maine Hello program. Each spring, classes are canceled for Maine Day, when the university community hosts a parade, and then everyone helps clean the campus. The university, often called UMaine, also has more than 200 student organizations and about 25 fraternities and sororities for students to join. Student athletes at UMaine can get involved at the intramural, club and varsity levels. The UMaine Black Bears intercollegiate sports teams compete in various conferences of the NCAA Division I and are best known for hockey. Notable UMaine alumni include bestselling horror author Stephen King, who wrote ""Carrie"" and ""The Green Mile. ",29.498,10.628,9297
West Virginia University,"Morgantown, WV",183,"West Virginia University is a public institution located along the Monongahela River in the small city of Morgantown in the northern part of the state. WVU offers nearly 200 bachelor's, master's, doctoral and professional programs within 15 colleges. A few of the graduate degrees available include those in the College of Business and Economics, the College of Engineering and Mineral Resources and the School of Medicine, which is home to the highly ranked rural medicine and primary care programs. Students who want to take a break from academics for the weekend can take a road trip from the WVU campus, situated near the Pennsylvania border, to the cities of Pittsburgh, Cleveland or Washington. Students at WVU can help others through the Center for Service and Learning, which gives class credit for community service and promotes events such as Random Acts of Kindness Week. There are also more than 400 student organizations for students to try, including nearly 30 Greek chapters, as well as club and intramural sports. For varsity athletics, students can choose from nearly 20 WVU Mountaineers teams, which compete in the NCAA Division I Big 12 Conference. Notable WVU alumni include Don Knotts, better known as the gawky deputy Barney Fife in ""The Andy Griffith Show. ",21.432,7.632,22498
Kent State University,"Kent, OH",188,"Kent State University is located in northeastern Ohio, about 40 miles south of Cleveland, with seven regional campuses situated across the state. Students at Kent State can choose from more than 300 academic programs, including graduate degrees from the College of Business Administration, the College of Education, Health and Human Services and the highly ranked School of Speech Pathology and Audiology. Undergraduates at Kent State have a unique opportunity to earn a degree in peace and conflict studies, which is offered through the Center for Applied Conflict Management. This center was created shortly after the headline-making 1970 incident in which Ohio National Guardsmen killed four Kent State students during a Vietnam War protest. Outside the classroom, Kent State students can get involved in more than 200 campus organizations, including Greek life, leadership programs and community service clubs. There are also many events nearby at the Blossom Music Center, the Porthouse Theatre and the Wick Poetry Center, as well as in the neighboring cities of Cleveland and Akron. Student athletes can get involved by playing intramural sports or by trying out for the many Kent State Golden Flashes varsity teams, which compete in the NCAA Division I Mid-American Conference. The members of new wave band Devo attended Kent, as did actor Michael Keaton, comedian Drew Carey and writer David Sedaris, although they did not graduate. Kent State alumni include former talk show host Arsenio Hall and many NFL players, including two-time Super Bowl winner James Harrison. ",18.376,10.012,23607
North Dakota State University,"Fargo, ND",188,"North Dakota State University is located in the city of Fargo, on the eastern border of the state. Undergraduates at North Dakota State can choose from more than 100 academic majors, and graduate students can study many master's programs as well, including business, engineering and education. Outside the classroom, NDSU students can get involved by exploring nearly 300 campus clubs, pledging with more than 10 fraternities and sororities, and joining student government. Student athletes can try out for the yellow and green NDSU Bison varsity teams, also known as the ""Thundering Herd,"" which compete in the NCAA Division I Summit League and Missouri Valley Football Conference. NDSU teams were previously named the Farmers and the Aggies, but athletic officials wanted them to be known as something fiercer, and so chose an animal that once roamed the state in large numbers. Notable North Dakota State alumni include Alf Clausen, Emmy Award-winning music director for ""The Simpsons"" television show. ",19.79,9.046,12037
Bowling Green State University,"Bowling Green, OH",194,"Bowling Green State University is located in northern Ohio, about 85 miles south of Detroit and 115 miles west of Cleveland. Freshmen at BGSU may join a Learning Community, which allows them to take a course with and live near other students who share a common interest. Undergraduates at Bowling Green can choose from more than 200 degrees, and master's students can choose from about 50 graduate programs, including in the fields of business, education and health. The BGSU campus is home to several unique buildings, such as the music building, which looks like a baby grand piano from above, and the recreation center, which resembles the school's falcon mascot from above. Students can join nearly 300 clubs, about 40 Greek organizations and maybe even the SICSIC spirit crew. This group, which has been around since the 1940s, consists of six anonymous members who dress in Halloween masks and work uniforms and secretly post spirit messages and signs on campus. Student athletes can play at the recreational level or try out for one of the many BGSU Falcons varsity sports teams, which compete in the NCAA Division I Mid-American Conference. Notable alumni include Academy Award-winning actress Eva Marie Saint, who was named Bowling Green's Pi Kappa Alpha Dream Girl before she went on to star in the movies ""On the Waterfront"" and Alfred Hitchcock's ""North by Northwest. ",18.332,10.796,14334
University of Houston,"Houston, TX",194,"The University of Houston is situated in one of the largest cities in the country, which puts students in an ideal location to find internships and research opportunities. The campus is located in downtown Houston, and freshmen are not required to live on campus. Each year, students turn the campus into a town called Fiesta City in time for the Frontier Fiesta, a string of concerts, talent shows, cook-offs and . There are more than 400 student organizations to check out, including fraternities and sororities. The UH Cougars compete in the NCAA Division I American Athletic Conference and are well known for football and basketball. With more than 40 centers, the University of Houston is devoted to research and community initiatives. There are a wide variety of graduate programs, including the University of Houston Law Center, which is well known for health care law and intellectual property law, as well as for its part-time law program. There is also the C.T. Bauer College of Business and the Cullen College of Engineering, among other graduate schools. Actors and brothers Randy and Dennis Quaid, country singer Kenny Rogers and Olympic track star Carl Lewis attended the University of Houston. ",25.41,10.71,34716
Western Michigan University,"Kalamazoo, MI",194,"Western Michigan University is located in the city of Kalamazoo, midway between Detroit and Chicago. The university offers more than 140 undergraduate programs and many master's degrees as well, including those in the Haworth College of Business, the College of Engineering and Applied Sciences and the College of Education and Human Development. Graduate students interested in careers in health can enroll in highly ranked programs training speech-language pathologists, physician assistants, rehabilitation counselors and audiologists. Outside the classroom, WMU students can get involved by exploring more than 300 student organizations, playing a recreational sport or pledging one of the nearly 30 fraternities and sororities. Off campus, WMU students can check out Kalamazoo's zoo, theater and festivals, or drive 40 minutes to the Lake Michigan beaches of South Haven. Student athletes can try out for the many WMU Broncos varsity sports teams, which compete in the NCAA Division I Mid-American Conference. Notable WMU alumni include Tim Allen, who starred in the television program ""Home Improvement"" and voiced Buzz Lightyear in the animated ""Toy Story"" movies. ",25.713,11.029,18567
Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",197,"Indiana University-Purdue University Indianapolis, better known as IUPUI, offers more than 250 degrees, including several highly ranked master's programs. In the medical and health fields, IUPUI's well-regarded graduate programs include primary care, nursing and social work. The law school offers a prestigious legal writing program, and there are also notable master's programs in the IUPUI School of Public and Environmental Affairs. Undergraduates at IUPUI can choose from many areas of study, with unique majors such as motorsports engineering. Besides academics, IUPUI students can get involved in many student organizations, as well as Greek life and intramural sports. Student athletes can try out for the IUPUI Jaguars varsity teams, which compete in the NCAA Division I Summit League. IUPUI also hosts many events for students to attend, including the annual International Festival, which presents foods and crafts from around the world. Notable Indiana University-Purdue University Indianapolis alumni include Norman Bridwell, author and illustrator of the ""Clifford the Big Red Dog"" children's books, and Dan Quayle, vice president under George H.W. Bush. ",29.791,9.205,21985
Lesley University,"Cambridge, MA",197,"Founded in 1909, Lesley University is a private institution. The school has 74.5 percent of its classes with fewer than 20 students, and the student-faculty ratio at Lesley University is 9:1. ",25.75,,1520
University of Alabama--Huntsville,"Huntsville, AL",197,"Located at the southern edge of the Appalachian Mountains, the University of Alabama--Huntsville campus is in the northern part of the state, about 100 miles from Nashville. Students can choose from about 40 academic programs in the colleges of business, engineering, liberal arts, nursing and science. The university, sometimes shortened to UAHuntsville or UAH, offers master's degree programs in business, engineering and nursing, among other fields. Outside the classroom, UAH students can get involved with more than 100 campus clubs, about a dozen fraternities and sororities, The Exponent newspaper and student government. UAHuntsville also offers sports at the intramural, club and varsity levels. The UAH Chargers intercollegiate teams are members of the NCAA Division II Gulf South Conference and compete in about 14 sports. Notable University of Alabama--Huntsville alumni include science fiction author Travis Taylor and John Hendricks, founder and chairman of Discovery Communications, who established a scholarship for UAHuntsville history majors. ",20.622,9.128,6013
University of Colorado--Denver,"Denver, CO",197,"The main University of Colorado--Denver campus is located downtown, with the Anschutz Medical Campus situated a few miles east in the city of Aurora. Students at CU Denver, as it is known, can choose from more than 130 areas of study, including master's degrees in business, engineering and education. CU Denver has several highly ranked health programs, including nursing and physical therapy, and its School of Medicine has top-ranked programs in family medicine and pediatrics. Students at CU Denver can benefit from their hard work in class when they visit the Scholarship Resource Office, which helps them track down scholarships, perfect their rí©sumí©s and edit essays. In their free time, CU Denver students can get involved in more than 100 campus organizations, as well as student government, ROTC, The Advocate student newspaper and volunteer opportunities. CU Denver students can also check out the outdoor opportunities offered by the Rocky Mountains and the festivals, rodeos, museums and sports teams of the city of Denver. CU Denver does not offer varsity athletic teams on campus, but students can join intramural sports and ""healthy moves"" classes such as Pilates and yoga. ",29.334,10.404,14036
University of Nevada--Reno,"Reno, NV",197,"The University of Nevada--Reno is located on the border between the Great Basin and the Sierra Nevada on the western edge of the state. Nevada offers dozens of undergraduate degrees and master's programs, including business, education, medicine and engineering. The university also specializes in earthquake research and is home to one of the largest earthquake-simulation laboratories in the country. Outside the classroom and lab, Nevada students can explore more than 200 student organizations, pledge with about 20 fraternities and sororities and participate in the school's many traditions. Each fall, students paint a big Nevada ""N"" on Peavine Peak, which overlooks campus, and during basketball season, fans cheer on the team as part of the ""Blue Crew."" Student athletes can play at the intramural level or try out for one of the many Nevada Wolf Pack varsity sports teams, which compete in the NCAA Division I Mountain West Conference. Off campus, Nevada students can visit nearby Lake Tahoe, check out the museums and festivals of Reno and drive just a few hours to California's capital, Sacramento, or the San Francisco Bay Area. ",21.052,7.142,17770
California State University--Fullerton,"Fullerton, CA",202,"California State University--Fullerton (CSUF) is located in the center of Orange County, about 30 miles from Los Angeles. The school offers more than 50 undergraduate degrees and nearly 50 master's programs, including those in the Mihaylo College of Business and Economics, the education school, and the highly ranked midwifery and anesthesiology programs in the nursing department. Outside the classroom, Cal State Fullerton students can explore more than 50 clubs, join a fraternity or sorority, or play in an intramural sports team. Many students also simply soak up the sunshine of Orange County, visit the beach nearby, and explore L.A.. For student athletes, CSUF offers several Division I varsity sports teams, which compete in various conferences. The school's sports teams are called the Titans, and its mascot is an elephant named Tuffy Titan, who came to be after CSUF hosted a highly publicized intercollegiate elephant race in the 1960s. Notable Cal State Fullerton alumni include Academy Award winner Kevin Costner, who starred in Dances with Wolves and Field of Dreams. ",17.596,6.436,33144
Central Michigan University,"Mount Pleasant, MI",202,"Central Michigan University is located in Mount Pleasant, about 150 miles northwest of Detroit. At CMU, students can earn bachelor's degrees in more than 200 fields and master's degrees in many programs as well, including business, health and fine arts. CMU is one of the nation's 100 largest universities and has more than 50 locations across North America, including in Hawaii and Canada. On the Mount Pleasant campus, CMU students can get involved in nearly 400 clubs, many fraternities and sororities, and the CMU Volunteer Center. Many student volunteers participate in the Alternative Break program, through which they spend their breaks from the academic year volunteering in places such as New Orleans and Brazil. CMU also hosts many annual events, such as a cardboard boat race during Homecoming and Native American Heritage Month, when the school celebrates its relationship with the local Saginaw Chippewa Tribe. Student athletes can play recreational sports or try out for the more than 15 CMU Chippewas varsity teams, which compete in the NCAA Division I Mid-American Conference. Notable CMU alumni include sports broadcaster Dick Enberg. ",23.67,12.15,20498
Louisiana Tech University,"Ruston, LA",202,"Founded in 1894, Louisiana Tech University is a public institution. Louisiana Tech University follows a quarter-based academic calendar and its admissions are considered more selective. ",25.851,8.853,10682
South Dakota State University,"Brookings, SD",202,"Founded in 1881, South Dakota State University is a public institution. The school has 32.4 percent of its classes with fewer than 20 students, and the student-faculty ratio at South Dakota State University is 17:1. ",11.403,8.172,11007
University of Alaska--Fairbanks,"Fairbanks, AK",202,"University of Alaska--Fairbanks is a public institution that was founded in 1917. It has a total undergraduate enrollment of 7,610, its setting is urban, and the campus size is 2,250 acres. It utilizes a semester-based academic calendar. University of Alaska--Fairbanks's ranking in the 2017 edition of Best Colleges is National Universities, 202. Its in-state tuition and fees are $7,799 (2016-17); out-of-state tuition and fees are $22,469 (2016-17).",22.469,7.799,7610
University of North Carolina--Charlotte,"Charlotte, NC",202,"Founded in 1946, University of North Carolina--Charlotte is a public institution. University of North Carolina--Charlotte follows a semester-based academic calendar and its admissions are considered selective. ",20.193,6.617,22732
University of North Dakota,"Grand Forks, ND",202,"The University of North Dakota is located in the city of Grand Forks on the eastern edge of the state, just a few miles from the Minnesota border. Students at the University of North Dakota can study in more than 200 academic fields, including graduate programs in business, law, engineering and education. The University of North Dakota, which is often abbreviated to UND, also has a highly ranked rural medicine program in its School of Medicine and Health Sciences. Outside the classroom, students can join more than 200 campus clubs, get involved in Greek life and participate in student government. Student athletes can play at the intramural level or try out for North Dakota varsity sports teams, which compete in the NCAA Division I in various conferences. Notable UND alumni include Chuck Klosterman, author of several books including ""Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto,"" and Sally Smith, CEO of the Buffalo Wild Wings restaurant franchise. ",18.899,4.965,11577
University of South Dakota,"Vermillion, SD",202,"Founded in 1862, University of South Dakota is a public institution. University of South Dakota offers a Greek system, where 23 percent of the student body is involved in a sorority and 14 percent is involved in a fraternity. ",11.688,8.457,7435
East Carolina University,"Greenville, NC",210,"East Carolina University is located in Greenville, North Carolina, about 80 miles from the state capital of Raleigh. The university offers more than 100 undergraduate degrees and more than 75 master's programs, including those in the fields of business and education. Graduate students can also study in the Brody School of Medicine, which has a highly ranked rural medicine program. At the Nancy W. Darden Child Development Center, students focusing on birth to kindergarten education can observe and interact with small children. ECU students can get involved by joining more than 300 campus clubs, pledging with numerous fraternities and sororities or playing in a wide variety of intramural sports. More serious athletes can try out for the ECU Pirates varsity teams, which compete in the NCAA Division I American Athletic Conference. Notable ECU alumni include actress Sandra Bullock, who won an Academy Award for her role in ""The Blind Side,"" and Vince and Linda McMahon, the founders of World Wrestling Entertainment. ",22.904,6.946,23039
