fiscal_year,service,department,program,expense_category,fund,fund_type,expense_type,description,recommended_amount,approved_amount
2015,Public Safety,Police,Criminal Investigations Administration,Criminal Investigations Administration,General Fund,Tax-Supported Fund,Operating Expense,Criminal Investigations Administration,0,8714547
2015,Public Safety,Police,East Precinct,East Precinct,General Fund,Tax-Supported Fund,Operating Expense,East Precinct,0,25072793
2015,Public Safety,Police,Field Support Administration,Field Support Administration,General Fund,Tax-Supported Fund,Operating Expense,Field Support Administration,0,34590161
2015,Public Safety,Police,Narcotics Investigations,Narcotics Investigations,General Fund,Tax-Supported Fund,Operating Expense,Narcotics Investigations,0,4998895
2015,Public Safety,Police,North Precinct Patrol,North Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,North Precinct Patrol,0,34297510
2015,Public Safety,Police,Office of Professional Accountability,Office of Professional Accountability,General Fund,Tax-Supported Fund,Operating Expense,Office of Professional Accountability,0,2560944
2015,Public Safety,Police,Patrol Operations,Deputy Chief Operations,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief Operations,0,1630915
2015,Public Safety,Police,South Precinct Patrol,South Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,South Precinct Patrol,0,18294587
2015,Public Safety,Police,Southwest Precinct Patrol,Southwest Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,Southwest Precinct Patrol,0,16657681
2015,Public Safety,Police,Special Investigations,Special Investigations,General Fund,Tax-Supported Fund,Operating Expense,Special Investigations,0,4691852
2015,Public Safety,Police,Special Operations,Special Operations,General Fund,Tax-Supported Fund,Operating Expense,Special Operations,0,47002611
2015,Public Safety,Police,Special Victims,Special Victims,General Fund,Tax-Supported Fund,Operating Expense,Special Victims,0,6702346
2015,Public Safety,Police,Violent Crimes Investigations,Violent Crimes Investigations,General Fund,Tax-Supported Fund,Operating Expense,Violent Crimes Investigations,0,7911076
2015,Public Safety,Police,West Precinct Patrol,West Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,West Precinct Patrol,0,32009952
2014,Public Safety,Police,Chief of Police,Chief of Police,General Fund,Tax-Supported Fund,Operating Expense,Chief of Police,0,6672677
2014,Public Safety,Police,Chief Operating Officer,Deputy Chief of Staff,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief of Staff,0,24964987
2014,Public Safety,Police,Compliance and Professional Standards Bureau,Professional Standards,General Fund,Tax-Supported Fund,Operating Expense,Professional Standards,0,14022294
2014,Public Safety,Police,Criminal Investigations Administration,Criminal Investigations Administration,General Fund,Tax-Supported Fund,Operating Expense,Criminal Investigations Administration,0,8377044
2014,Public Safety,Police,East Precinct,East Precinct,General Fund,Tax-Supported Fund,Operating Expense,East Precinct,0,24841322
2014,Public Safety,Police,Field Support Administration,Field Support Administration,General Fund,Tax-Supported Fund,Operating Expense,Field Support Administration,0,31920653
2014,Public Safety,Police,Narcotics Investigations,Narcotics Investigations,General Fund,Tax-Supported Fund,Operating Expense,Narcotics Investigations,0,5009513
2014,Public Safety,Police,North Precinct Patrol,North Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,North Precinct Patrol,0,33628071
2014,Public Safety,Police,Office of Professional Accountability,Office of Professional Accountability,General Fund,Tax-Supported Fund,Operating Expense,Office of Professional Accountability,0,2072781
2014,Public Safety,Police,Patrol Operations,Deputy Chief Operations,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief Operations,0,3307208
2014,Public Safety,Police,Patrol Operations Administration,Patrol Operations Administration,General Fund,Tax-Supported Fund,Operating Expense,Patrol Operations Administration,0,0
2014,Public Safety,Police,South Precinct Patrol,South Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,South Precinct Patrol,0,18100203
2014,Public Safety,Police,Southwest Precinct Patrol,Southwest Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,Southwest Precinct Patrol,0,16369842
2014,Public Safety,Police,Special Investigations,Special Investigations,General Fund,Tax-Supported Fund,Operating Expense,Special Investigations,0,4656355
2014,Public Safety,Police,Special Operations,Special Operations,General Fund,Tax-Supported Fund,Operating Expense,Special Operations,0,48682463
2014,Public Safety,Police,Special Victims,Special Victims,General Fund,Tax-Supported Fund,Operating Expense,Special Victims,0,6701853
2014,Public Safety,Police,Violent Crimes Investigations,Violent Crimes Investigations,General Fund,Tax-Supported Fund,Operating Expense,Violent Crimes Investigations,0,7952269
2014,Public Safety,Police,West Precinct Patrol,West Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,West Precinct Patrol,0,31388197
2013,Public Safety,Police,Chief of Police,Chief of Police,General Fund,Tax-Supported Fund,Operating Expense,Chief of Police,0,3537526
2013,Public Safety,Police,Criminal Investigations Administration,Criminal Investigations Administration,General Fund,Tax-Supported Fund,Operating Expense,Criminal Investigations Administration,0,7886770
2013,Public Safety,Police,Deputy Chief of Staff,Deputy Chief of Staff,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief of Staff,0,25286474
2013,Public Safety,Police,Deputy Chief Operations,Deputy Chief Operations,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief Operations,0,2300448
2013,Public Safety,Police,East Precinct,East Precinct,General Fund,Tax-Supported Fund,Operating Expense,East Precinct,0,22724724
2013,Public Safety,Police,Field Support Administration,Field Support Administration,General Fund,Tax-Supported Fund,Operating Expense,Field Support Administration,0,38247444
2013,Public Safety,Police,Narcotics Investigations,Narcotics Investigations,General Fund,Tax-Supported Fund,Operating Expense,Narcotics Investigations,0,4698566
2013,Public Safety,Police,North Precinct Patrol,North Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,North Precinct Patrol,0,30676620
2013,Public Safety,Police,Office of Professional Accountability,Office of Professional Accountability,General Fund,Tax-Supported Fund,Operating Expense,Office of Professional Accountability,0,1942645
2013,Public Safety,Police,Patrol Operations Administration,Patrol Operations Administration,General Fund,Tax-Supported Fund,Operating Expense,Patrol Operations Administration,0,1303589
2013,Public Safety,Police,South Precinct Patrol,South Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,South Precinct Patrol,0,16580390
2013,Public Safety,Police,Southwest Precinct Patrol,Southwest Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,Southwest Precinct Patrol,0,15009557
2013,Public Safety,Police,Special Investigations,Special Investigations,General Fund,Tax-Supported Fund,Operating Expense,Special Investigations,0,4298428
2013,Public Safety,Police,Special Operations,Special Operations,General Fund,Tax-Supported Fund,Operating Expense,Special Operations,0,46539227
2013,Public Safety,Police,Special Victims,Special Victims,General Fund,Tax-Supported Fund,Operating Expense,Special Victims,0,6248451
2013,Public Safety,Police,Violent Crimes Investigations,Violent Crimes Investigations,General Fund,Tax-Supported Fund,Operating Expense,Violent Crimes Investigations,0,7396587
2013,Public Safety,Police,West Precinct Patrol,West Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,West Precinct Patrol,0,28408334
2012,Public Safety,Police,Chief of Police,Chief of Police,General Fund,Tax-Supported Fund,Operating Expense,Chief of Police,0,2630087.527
2012,Public Safety,Police,Criminal Investigations Administration,Criminal Investigations Administration,General Fund,Tax-Supported Fund,Operating Expense,Criminal Investigations Administration,0,7654533.254
2012,Public Safety,Police,Deputy Chief of Staff,Deputy Chief of Staff,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief of Staff,0,25019364
2012,Public Safety,Police,Deputy Chief Operations,Deputy Chief Operations,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief Operations,0,2394577.69
2012,Public Safety,Police,East Precinct,East Precinct,General Fund,Tax-Supported Fund,Operating Expense,East Precinct,0,22599153.09
2012,Public Safety,Police,Field Support Administration,Field Support Administration,General Fund,Tax-Supported Fund,Operating Expense,Field Support Administration,0,34558254.19
2012,Public Safety,Police,Narcotics Investigations,Narcotics Investigations,General Fund,Tax-Supported Fund,Operating Expense,Narcotics Investigations,0,4792948.023
2012,Public Safety,Police,North Precinct Patrol,North Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,North Precinct Patrol,0,31041149.44
2012,Public Safety,Police,Office of Professional Accountability,Office of Professional Accountability,General Fund,Tax-Supported Fund,Operating Expense,Office of Professional Accountability,0,1874266.215
2012,Public Safety,Police,Patrol Operations Administration,Patrol Operations Administration,General Fund,Tax-Supported Fund,Operating Expense,Patrol Operations Administration,0,1294543.369
2012,Public Safety,Police,South Precinct Patrol,South Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,South Precinct Patrol,0,16516477.18
2012,Public Safety,Police,Southwest Precinct Patrol,Southwest Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,Southwest Precinct Patrol,0,14979145.12
2012,Public Safety,Police,Special Investigations,Special Investigations,General Fund,Tax-Supported Fund,Operating Expense,Special Investigations,0,4133101.21
2012,Public Safety,Police,Special Operations,Special Operations,General Fund,Tax-Supported Fund,Operating Expense,Special Operations,0,40733159.93
2012,Public Safety,Police,Special Victims,Special Victims,General Fund,Tax-Supported Fund,Operating Expense,Special Victims,0,6176785.716
2012,Public Safety,Police,Violent Crimes Investigations,Violent Crimes Investigations,General Fund,Tax-Supported Fund,Operating Expense,Violent Crimes Investigations,0,6799355.47
2012,Public Safety,Police,West Precinct Patrol,West Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,West Precinct Patrol,0,29020347.89
2011,Public Safety,Police,Chief of Police,Chief of Police,General Fund,Tax-Supported Fund,Operating Expense,Chief of Police,0,4638669.227
2011,Public Safety,Police,Criminal Investigations Administration,Criminal Investigations Administration,General Fund,Tax-Supported Fund,Operating Expense,Criminal Investigations Administration,0,7240106.496
2011,Public Safety,Police,Deputy Chief of Staff,Deputy Chief of Staff,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief of Staff,0,24698932.6
2011,Public Safety,Police,Deputy Chief Operations,Deputy Chief Operations,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief Operations,0,702552.6411
2011,Public Safety,Police,East Precinct,East Precinct,General Fund,Tax-Supported Fund,Operating Expense,East Precinct,0,22585390.06
2011,Public Safety,Police,Field Support Administration,Field Support Administration,General Fund,Tax-Supported Fund,Operating Expense,Field Support Administration,0,34101696.73
2011,Public Safety,Police,Narcotics Investigations,Narcotics Investigations,General Fund,Tax-Supported Fund,Operating Expense,Narcotics Investigations,0,4259307.044
2011,Public Safety,Police,North Precinct Patrol,North Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,North Precinct Patrol,0,30933920.04
2011,Public Safety,Police,Office of Professional Accountability,Office of Professional Accountability,General Fund,Tax-Supported Fund,Operating Expense,Office of Professional Accountability,0,1712655.333
2011,Public Safety,Police,Patrol Operations Administration,Patrol Operations Administration,General Fund,Tax-Supported Fund,Operating Expense,Patrol Operations Administration,0,1277963.771
2011,Public Safety,Police,South Precinct Patrol,South Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,South Precinct Patrol,0,16788701.3
2011,Public Safety,Police,Southwest Precinct Patrol,Southwest Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,Southwest Precinct Patrol,0,14819422.2
2011,Public Safety,Police,Special Investigations,Special Investigations,General Fund,Tax-Supported Fund,Operating Expense,Special Investigations,0,4085635.224
2011,Public Safety,Police,Special Operations,Special Operations,General Fund,Tax-Supported Fund,Operating Expense,Special Operations,0,40007549.32
2011,Public Safety,Police,Violent Crimes Investigations,Violent Crimes Investigations,General Fund,Tax-Supported Fund,Operating Expense,Violent Crimes Investigations,0,6684774.827
2011,Public Safety,Police,West Precinct Patrol,West Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,West Precinct Patrol,0,28959409.4
2010,Public Safety,Police,Chief of Police,Chief of Police,General Fund,Tax-Supported Fund,Operating Expense,Chief of Police,0,4394876.308
2010,Public Safety,Police,Criminal Investigations Administration,Criminal Investigations Administration,General Fund,Tax-Supported Fund,Operating Expense,Criminal Investigations Administration,0,6999891.349
2010,Public Safety,Police,Deputy Chief of Staff,Deputy Chief of Staff,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief of Staff,0,25270512.38
2010,Public Safety,Police,Deputy Chief Operations,Deputy Chief Operations,General Fund,Tax-Supported Fund,Operating Expense,Deputy Chief Operations,0,435004.8368
2010,Public Safety,Police,East Precinct,East Precinct,General Fund,Tax-Supported Fund,Operating Expense,East Precinct,0,21895516.66
2010,Public Safety,Police,Field Support Administration,Field Support Administration,General Fund,Tax-Supported Fund,Operating Expense,Field Support Administration,0,32308995.55
2010,Public Safety,Police,Narcotics Investigations,Narcotics Investigations,General Fund,Tax-Supported Fund,Operating Expense,Narcotics Investigations,0,4675360.064
2010,Public Safety,Police,North Precinct Patrol,North Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,North Precinct Patrol,0,29193956.71
2010,Public Safety,Police,Office of Professional Accountability,Office of Professional Accountability,General Fund,Tax-Supported Fund,Operating Expense,Office of Professional Accountability,0,1838297.075
2010,Public Safety,Police,Patrol Operations Administration,Patrol Operations Administration,General Fund,Tax-Supported Fund,Operating Expense,Patrol Operations Administration,0,1124013.052
2010,Public Safety,Police,South Precinct Patrol,South Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,South Precinct Patrol,0,16454756.97
2010,Public Safety,Police,Southwest Precinct Patrol,Southwest Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,Southwest Precinct Patrol,0,14803482.41
2010,Public Safety,Police,Special Investigations,Special Investigations,General Fund,Tax-Supported Fund,Operating Expense,Special Investigations,0,4071222.601
2010,Public Safety,Police,Special Operations,Special Operations,General Fund,Tax-Supported Fund,Operating Expense,Special Operations,0,39162102.65
2010,Public Safety,Police,Special Victims,Special Victims,General Fund,Tax-Supported Fund,Operating Expense,Special Victims,0,5736728.821
2010,Public Safety,Police,Violent Crimes Investigations,Violent Crimes Investigations,General Fund,Tax-Supported Fund,Operating Expense,Violent Crimes Investigations,0,6676513.532
2010,Public Safety,Police,West Precinct Patrol,West Precinct Patrol,General Fund,Tax-Supported Fund,Operating Expense,West Precinct Patrol,0,27772642.97
2015,Public Safety,Police Relief and Pension,Police Relief and Pension,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,535500
2015,Public Safety,Police Relief and Pension,Police Relief and Pension,Death Benefits,General Fund,Tax-Supported Fund,Operating Expense,Death Benefits,0,18000
2015,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,General Fund,Tax-Supported Fund,Operating Expense,Medical Benefits,0,12690000
2015,Public Safety,Police Relief and Pension,Police Relief and Pension,Pension Benefits,General Fund,Tax-Supported Fund,Operating Expense,Pension Benefits,0,7152840
2014,Public Safety,Police Relief and Pension,Police Relief and Pension,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,568165
2014,Public Safety,Police Relief and Pension,Police Relief and Pension,Death Benefits,General Fund,Tax-Supported Fund,Operating Expense,Death Benefits,0,15000
2014,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,General Fund,Tax-Supported Fund,Operating Expense,Medical Benefits,0,12750000
2014,Public Safety,Police Relief and Pension,Police Relief and Pension,Pension Benefits,General Fund,Tax-Supported Fund,Operating Expense,Pension Benefits,0,7500000
2013,Public Safety,Police Relief and Pension,Police Relief and Pension,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,557300.53
2013,Public Safety,Police Relief and Pension,Police Relief and Pension,Death Benefits,General Fund,Tax-Supported Fund,Operating Expense,Death Benefits,0,15000
2013,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,General Fund,Tax-Supported Fund,Operating Expense,Medical Benefits,0,12500000
2013,Public Safety,Police Relief and Pension,Police Relief and Pension,Pension Benefits,General Fund,Tax-Supported Fund,Operating Expense,Pension Benefits,0,6715000
2012,Public Safety,Police Relief and Pension,Police Relief and Pension,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,536343.9484
2012,Public Safety,Police Relief and Pension,Police Relief and Pension,Death Benefits,General Fund,Tax-Supported Fund,Operating Expense,Death Benefits,0,15000
2012,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,General Fund,Tax-Supported Fund,Operating Expense,Medical Benefits,0,13000000
2012,Public Safety,Police Relief and Pension,Police Relief and Pension,Pension Benefits,General Fund,Tax-Supported Fund,Operating Expense,Pension Benefits,0,8634000
2011,Public Safety,Police Relief and Pension,Police Relief and Pension,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,425000
2011,Public Safety,Police Relief and Pension,Police Relief and Pension,Death Benefits,General Fund,Tax-Supported Fund,Operating Expense,Death Benefits,0,15000
2011,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,General Fund,Tax-Supported Fund,Operating Expense,Medical Benefits,0,13492000
2011,Public Safety,Police Relief and Pension,Police Relief and Pension,Pension Benefits,General Fund,Tax-Supported Fund,Operating Expense,Pension Benefits,0,9096000
2010,Public Safety,Police Relief and Pension,Police Relief and Pension,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,373903
2010,Public Safety,Police Relief and Pension,Police Relief and Pension,Death Benefits,General Fund,Tax-Supported Fund,Operating Expense,Death Benefits,0,15000
2010,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,General Fund,Tax-Supported Fund,Operating Expense,Medical Benefits,0,12345000
2010,Public Safety,Police Relief and Pension,Police Relief and Pension,Pension Benefits,General Fund,Tax-Supported Fund,Operating Expense,Pension Benefits,0,9628000
2015,Health & Human Services,Preschool Levy,Administration,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,1711616
2015,Health & Human Services,Preschool Levy,Capacity Building,Capacity Building,General Fund,Tax-Supported Fund,Operating Expense,Capacity Building,0,1342346
2015,Health & Human Services,Preschool Levy,Contingency,Contingency,General Fund,Tax-Supported Fund,Operating Expense,Contingency,0,138690
2015,Health & Human Services,Preschool Levy,Program Support: Professional Development and Training,Program Support: Professional Development and Training,General Fund,Tax-Supported Fund,Operating Expense,Program Support: Professional Development and Training,0,247675
2015,Health & Human Services,Preschool Levy,Research and Evaluation,Research and Evaluation,General Fund,Tax-Supported Fund,Operating Expense,Research and Evaluation,0,918614
2015,Health & Human Services,Preschool Levy,School Readiness,School Readiness,General Fund,Tax-Supported Fund,Operating Expense,School Readiness,0,543615
2012,,PSCSC,Public Safety Civil Service Commission,Public Safety Civil Service Commission,General Fund,Tax-Supported Fund,Operating Expense,Public Safety Civil Service Commission,0,0
2011,,PSCSC,Public Safety Civil Service Commission,Public Safety Civil Service Commission,General Fund,Tax-Supported Fund,Operating Expense,Public Safety Civil Service Commission,0,148985.7638
2010,,PSCSC,Public Safety Civil Service Commission,Public Safety Civil Service Commission,General Fund,Tax-Supported Fund,Operating Expense,Public Safety Civil Service Commission,0,141914.0085
2015,Utilities & Transportation,Public Utilities,Administration,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,42062975
2015,Utilities & Transportation,Public Utilities,Administration,General and Administrative Credit,General Fund,Tax-Supported Fund,Operating Expense,General and Administrative Credit,0,-19132179
2015,Utilities & Transportation,Public Utilities,Combined Sewer Overflows,Combined Sewer Overflows,General Fund,Tax-Supported Fund,Operating Expense,Combined Sewer Overflows,0,60067214
2015,Utilities & Transportation,Public Utilities,Customer Service,Customer Service,General Fund,Tax-Supported Fund,Operating Expense,Customer Service,0,33537242
2015,Utilities & Transportation,Public Utilities,Distribution,Distribution,General Fund,Tax-Supported Fund,Operating Expense,Distribution,0,20713188
2015,Utilities & Transportation,Public Utilities,"Flooding, Sewer Back-up, and Landslides","Flooding, Sewer Back-up, and Landslides",General Fund,Tax-Supported Fund,Operating Expense,"Flooding, Sewer Back-up, and Landslides",0,16970226
2015,Utilities & Transportation,Public Utilities,General Expense,Debt Service,General Fund,Tax-Supported Fund,Operating Expense,Debt Service,0,146552961
2015,Utilities & Transportation,Public Utilities,General Expense,Other General Expenses,General Fund,Tax-Supported Fund,Operating Expense,Other General Expenses,0,299279694
2015,Utilities & Transportation,Public Utilities,General Expense,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,105840358
2015,Utilities & Transportation,Public Utilities,Habitat Conservation Program,Habitat Conservation Program,General Fund,Tax-Supported Fund,Operating Expense,Habitat Conservation Program,0,2603680
2015,Utilities & Transportation,Public Utilities,New Facilities,New Facilities,General Fund,Tax-Supported Fund,Operating Expense,New Facilities,0,49392636
2015,Utilities & Transportation,Public Utilities,Other Operating,Field Operations,General Fund,Tax-Supported Fund,Operating Expense,Field Operations,0,80133754
2015,Utilities & Transportation,Public Utilities,Other Operating,Pre-Capital Planning & Development,General Fund,Tax-Supported Fund,Operating Expense,Pre-Capital Planning & Development,0,3385446
2015,Utilities & Transportation,Public Utilities,Other Operating,Project Delivery,General Fund,Tax-Supported Fund,Operating Expense,Project Delivery,0,17817806
2015,Utilities & Transportation,Public Utilities,Other Operating,Utility Systems Management,General Fund,Tax-Supported Fund,Operating Expense,Utility Systems Management,0,36178349
2015,Utilities & Transportation,Public Utilities,Protection of Beneficial Uses,Protection of Beneficial Uses,General Fund,Tax-Supported Fund,Operating Expense,Protection of Beneficial Uses,0,5181722
2015,Utilities & Transportation,Public Utilities,Rehabilitation,Rehabilitation,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation,0,10628749
2015,Utilities & Transportation,Public Utilities,Rehabilitation and Heavy Equipment,Rehabilitation and Heavy Equipment,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation and Heavy Equipment,0,30000
2015,Utilities & Transportation,Public Utilities,Sediments,Sediments,General Fund,Tax-Supported Fund,Operating Expense,Sediments,0,4796707
2015,Utilities & Transportation,Public Utilities,Shared Cost Projects,Shared Cost Projects,General Fund,Tax-Supported Fund,Operating Expense,Shared Cost Projects,0,43980426
2015,Utilities & Transportation,Public Utilities,Technology,Technology,General Fund,Tax-Supported Fund,Operating Expense,Technology,0,28322563
2015,Utilities & Transportation,Public Utilities,Transmission,Transmission,General Fund,Tax-Supported Fund,Operating Expense,Transmission,0,2497665
2015,Utilities & Transportation,Public Utilities,Water Quality & Treatment,Water Quality & Treatment,General Fund,Tax-Supported Fund,Operating Expense,Water Quality & Treatment,0,11417480
2015,Utilities & Transportation,Public Utilities,Water Resources,Water Resources,General Fund,Tax-Supported Fund,Operating Expense,Water Resources,0,13964623
2015,Utilities & Transportation,Public Utilities,Watershed Stewardship,Watershed Stewardship,General Fund,Tax-Supported Fund,Operating Expense,Watershed Stewardship,0,301000
2014,Utilities & Transportation,Public Utilities,Administration,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,34143790
2014,Utilities & Transportation,Public Utilities,Administration,General and Administrative Credit,General Fund,Tax-Supported Fund,Operating Expense,General and Administrative Credit,0,3971129
2014,Utilities & Transportation,Public Utilities,Combined Sewer Overflows,Combined Sewer Overflows,General Fund,Tax-Supported Fund,Operating Expense,Combined Sewer Overflows,0,47696601
2014,Utilities & Transportation,Public Utilities,Customer Service,Customer Service,General Fund,Tax-Supported Fund,Operating Expense,Customer Service,0,28188828
2014,Utilities & Transportation,Public Utilities,Distribution,Distribution,General Fund,Tax-Supported Fund,Operating Expense,Distribution,0,22600235
2014,Utilities & Transportation,Public Utilities,"Flooding, Sewer Back-up, and Landslides","Flooding, Sewer Back-up, and Landslides",General Fund,Tax-Supported Fund,Operating Expense,"Flooding, Sewer Back-up, and Landslides",0,17025137
2014,Utilities & Transportation,Public Utilities,General Expense,Debt Service,General Fund,Tax-Supported Fund,Operating Expense,Debt Service,0,135847101
2014,Utilities & Transportation,Public Utilities,General Expense,Other General Expenses,General Fund,Tax-Supported Fund,Operating Expense,Other General Expenses,0,287713468
2014,Utilities & Transportation,Public Utilities,Habitat Conservation Program,Habitat Conservation Program,General Fund,Tax-Supported Fund,Operating Expense,Habitat Conservation Program,0,2610018
2014,Utilities & Transportation,Public Utilities,New Facilities,New Facilities,General Fund,Tax-Supported Fund,Operating Expense,New Facilities,0,26574225
2014,Utilities & Transportation,Public Utilities,Other Operating,Field Operations,General Fund,Tax-Supported Fund,Operating Expense,Field Operations,0,64445124
2014,Utilities & Transportation,Public Utilities,Other Operating,Pre-Capital Planning & Development,General Fund,Tax-Supported Fund,Operating Expense,Pre-Capital Planning & Development,0,3547722
2014,Utilities & Transportation,Public Utilities,Other Operating,Project Delivery,General Fund,Tax-Supported Fund,Operating Expense,Project Delivery,0,14149372
2014,Utilities & Transportation,Public Utilities,Other Operating,Utility Systems Management,General Fund,Tax-Supported Fund,Operating Expense,Utility Systems Management,0,31064732
2014,Utilities & Transportation,Public Utilities,Protection of Beneficial Uses,Protection of Beneficial Uses,General Fund,Tax-Supported Fund,Operating Expense,Protection of Beneficial Uses,0,3195304
2014,Utilities & Transportation,Public Utilities,Rehabilitation,Rehabilitation,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation,0,11864169
2014,Utilities & Transportation,Public Utilities,Rehabilitation and Heavy Equipment,Rehabilitation and Heavy Equipment,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation and Heavy Equipment,0,45000
2014,Utilities & Transportation,Public Utilities,Sediments,Sediments,General Fund,Tax-Supported Fund,Operating Expense,Sediments,0,3422898
2014,Utilities & Transportation,Public Utilities,Shared Cost Projects,Shared Cost Projects,General Fund,Tax-Supported Fund,Operating Expense,Shared Cost Projects,0,39822802
2014,Utilities & Transportation,Public Utilities,Technology,Technology,General Fund,Tax-Supported Fund,Operating Expense,Technology,0,23922173
2014,Utilities & Transportation,Public Utilities,Transmission,Transmission,General Fund,Tax-Supported Fund,Operating Expense,Transmission,0,2915905
2014,Utilities & Transportation,Public Utilities,Water Quality & Treatment,Water Quality & Treatment,General Fund,Tax-Supported Fund,Operating Expense,Water Quality & Treatment,0,11279359
2014,Utilities & Transportation,Public Utilities,Water Resources,Water Resources,General Fund,Tax-Supported Fund,Operating Expense,Water Resources,0,4215073
2014,Utilities & Transportation,Public Utilities,Watershed Stewardship,Watershed Stewardship,General Fund,Tax-Supported Fund,Operating Expense,Watershed Stewardship,0,27000
2013,Utilities & Transportation,Public Utilities,Administration,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,36351287.91
2013,Utilities & Transportation,Public Utilities,Administration,General and Administrative Credit,General Fund,Tax-Supported Fund,Operating Expense,General and Administrative Credit,0,-17115801.41
2013,Utilities & Transportation,Public Utilities,Combined Sewer Overflows,Combined Sewer Overflows,General Fund,Tax-Supported Fund,Operating Expense,Combined Sewer Overflows,0,43834340.51
2013,Utilities & Transportation,Public Utilities,Customer Service,Customer Service,General Fund,Tax-Supported Fund,Operating Expense,Customer Service,0,30407022.99
2013,Utilities & Transportation,Public Utilities,Distribution,Distribution,General Fund,Tax-Supported Fund,Operating Expense,Distribution,0,19778087.88
2013,Utilities & Transportation,Public Utilities,"Flooding, Sewer Back-up, and Landslides","Flooding, Sewer Back-up, and Landslides",General Fund,Tax-Supported Fund,Operating Expense,"Flooding, Sewer Back-up, and Landslides",0,16710198.43
2013,Utilities & Transportation,Public Utilities,General Expense,Debt Service,General Fund,Tax-Supported Fund,Operating Expense,Debt Service,0,132109864.9
2013,Utilities & Transportation,Public Utilities,General Expense,Other General Expenses,General Fund,Tax-Supported Fund,Operating Expense,Other General Expenses,0,283183153.9
2013,Utilities & Transportation,Public Utilities,General Expense,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,96616222
2013,Utilities & Transportation,Public Utilities,Habitat Conservation Program,Habitat Conservation Program,General Fund,Tax-Supported Fund,Operating Expense,Habitat Conservation Program,0,2506875.123
2013,Utilities & Transportation,Public Utilities,New Facilities,New Facilities,General Fund,Tax-Supported Fund,Operating Expense,New Facilities,0,8888344.992
2013,Utilities & Transportation,Public Utilities,Other Operating,Field Operations,General Fund,Tax-Supported Fund,Operating Expense,Field Operations,0,59737543.87
